Angers,Paris-SG,5,3
Angers,Rennes,2,5
Angers,Marseille,3,5
Angers,Nice,1,3
Angers,Lens,0,2
Angers,Brest,5,3
Angers,Lille,1,5
Angers,Strasbourg,2,5
Angers,Monaco,5,0
Angers,Montpellier,5,2
Angers,Lyon,3,3
Angers,Nantes,1,0
Angers,Reims,1,3
Angers,Troyes,4,2
Angers,Lorient,5,4
Angers,Clermont,4,0
Angers,Bordeaux,1,3
Angers,Metz,3,0
Angers,Saint-Etienne,0,1
Bordeaux,Paris-SG,2,0
Bordeaux,Rennes,2,1
Bordeaux,Marseille,4,4
Bordeaux,Nice,4,2
Bordeaux,Lens,4,4
Bordeaux,Brest,1,5
Bordeaux,Lille,5,3
Bordeaux,Strasbourg,1,3
Bordeaux,Monaco,5,2
Bordeaux,Angers,3,4
Bordeaux,Montpellier,2,4
Bordeaux,Lyon,5,2
Bordeaux,Nantes,3,1
Bordeaux,Reims,4,1
Bordeaux,Troyes,4,3
Bordeaux,Lorient,2,4
Bordeaux,Clermont,5,5
Bordeaux,Metz,3,3
Bordeaux,Saint-Etienne,3,5
Brest,Paris-SG,3,1
Brest,Rennes,4,2
Brest,Marseille,5,2
Brest,Nice,1,5
Brest,Lens,1,4
Brest,Lille,5,4
Brest,Strasbourg,2,0
Brest,Monaco,3,0
Brest,Angers,4,5
Brest,Montpellier,2,1
Brest,Lyon,5,5
Brest,Nantes,4,4
Brest,Reims,0,1
Brest,Troyes,5,4
Brest,Lorient,0,4
Brest,Clermont,5,0
Brest,Bordeaux,5,5
Brest,Metz,0,2
Brest,Saint-Etienne,3,3
Clermont,Paris-SG,0,4
Clermont,Rennes,1,1
Clermont,Marseille,2,3
Clermont,Nice,2,2
Clermont,Lens,4,1
Clermont,Brest,3,1
Clermont,Lille,3,4
Clermont,Strasbourg,3,0
Clermont,Monaco,3,0
Clermont,Angers,0,4
Clermont,Montpellier,4,0
Clermont,Lyon,3,5
Clermont,Nantes,0,2
Clermont,Reims,0,1
Clermont,Troyes,0,2
Clermont,Lorient,0,4
Clermont,Bordeaux,5,5
Clermont,Metz,1,0
Clermont,Saint-Etienne,1,5
Lens,Paris-SG,4,3
Lens,Rennes,4,4
Lens,Marseille,4,2
Lens,Nice,4,5
Lens,Brest,3,0
Lens,Lille,2,4
Lens,Strasbourg,2,5
Lens,Monaco,4,5
Lens,Angers,0,0
Lens,Montpellier,2,0
Lens,Lyon,0,4
Lens,Nantes,1,3
Lens,Reims,5,4
Lens,Troyes,5,2
Lens,Lorient,0,2
Lens,Clermont,2,4
Lens,Bordeaux,5,4
Lens,Metz,5,3
Lens,Saint-Etienne,4,3
Lille,Paris-SG,0,4
Lille,Rennes,5,1
Lille,Marseille,3,3
Lille,Nice,4,1
Lille,Lens,3,2
Lille,Brest,4,5
Lille,Strasbourg,4,1
Lille,Monaco,4,1
Lille,Angers,2,3
Lille,Montpellier,2,4
Lille,Lyon,4,2
Lille,Nantes,4,5
Lille,Reims,0,0
Lille,Troyes,0,0
Lille,Lorient,5,0
Lille,Clermont,4,4
Lille,Bordeaux,5,5
Lille,Metz,0,1
Lille,Saint-Etienne,5,1
Lorient,Paris-SG,1,5
Lorient,Rennes,5,2
Lorient,Marseille,1,4
Lorient,Nice,4,0
Lorient,Lens,0,1
Lorient,Brest,4,5
Lorient,Lille,3,0
Lorient,Strasbourg,4,1
Lorient,Monaco,0,1
Lorient,Angers,2,2
Lorient,Montpellier,1,2
Lorient,Lyon,4,2
Lorient,Nantes,2,3
Lorient,Reims,0,1
Lorient,Troyes,4,2
Lorient,Clermont,3,1
Lorient,Bordeaux,2,0
Lorient,Metz,2,1
